task,metric,advice_type,batch,n_seeds,mean,std,lower_band,upper_band
copy,cost,combined,4500,3,6.859999999999999,0.25709920264364905,6.602900797356351,7.117099202643648
copy,cost,combined,4600,3,6.746666666666667,0.24501700621249412,6.501649660454173,6.991683672879161
copy,cost,combined,4700,3,6.723333333333334,0.4015387071420804,6.321794626191253,7.124872040475414
copy,cost,combined,4800,3,6.4366666666666665,0.11372481406154682,6.32294185260512,6.550391480728213
copy,cost,combined,4900,3,6.403333333333332,0.19731531449265008,6.206018018840682,6.600648647825983
copy,cost,combined,5000,3,6.413333333333333,0.3239341496868358,6.089399183646497,6.737267483020169
copy,cost,none,100,3,17.376666666666665,0.5173329037798905,16.859333762886774,17.893999570446557
copy,cost,none,200,3,14.46,0.19287301521985867,14.267126984780143,14.652873015219859
copy,cost,none,300,3,13.18,0.06557438524302037,13.11442561475698,13.24557438524302
copy,cost,none,400,3,12.573333333333332,0.1755942292142121,12.39773910411912,12.748927562547545
copy,cost,none,500,3,12.426666666666668,0.03511884584284256,12.391547820823826,12.46178551250951
copy,cost,none,600,3,11.836666666666668,0.2608320021265283,11.575834664540139,12.097498668793197
copy,cost,none,700,3,11.339999999999998,0.36013886210738255,10.979861137892616,11.70013886210738
copy,cost,none,800,3,11.246666666666668,0.2550163393458021,10.991650327320865,11.50168300601247
copy,cost,none,900,3,11.123333333333333,0.14742229591663944,10.975911037416694,11.270755629249972
copy,cost,none,1000,3,11.026666666666669,0.47247574893674027,10.55419091772993,11.499142415603409
copy,cost,none,1100,3,10.963333333333333,0.29365512652316084,10.669678206810172,11.256988459856494
copy,cost,none,1200,3,10.31,0.47148700936505117,9.83851299063495,10.781487009365051
copy,cost,none,1300,3,10.433333333333334,0.20231987873991392,10.23101345459342,10.635653212073247
copy,cost,none,1400,3,10.036666666666667,0.3572580766523455,9.679408590014322,10.393924743319012
copy,cost,none,1500,3,10.21,0.18520259177452186,10.02479740822548,10.395202591774522
copy,cost,none,1600,3,9.936666666666666,0.12662279942148386,9.810043867245183,10.063289466088149
copy,cost,none,1700,3,9.873333333333333,0.546382039724343,9.32695129360899,10.419715373057675
copy,cost,none,1800,3,9.666666666666666,0.2150193789716026,9.451647287695064,9.881686045638268
